Track.Name,Artist,songId,Region,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
El Farsante,Ozuna,5EId1m4DNwTf3at31w8bPJ,Argentina,,,,,,,,,8,10,,
Que Va,Alex Sensation,7ofxPmTNMj2GP07g1VZa0O,Argentina,,,,,,,,,,8,6,
Vuelve,Daddy Yankee,0lJCqIx5BhZtf6QtYI2fbv,Argentina,,,,,,,,,,9,8,
Criminal,Natti Natasha,6Za3190Sbw39BBC77WSS1C,Argentina,,,,,,,,,,,1,3
Sensualidad,Bad Bunny,5hcisvFMidkMJlElTO9Qmw,Argentina,,,,,,,,,,,4,2
Perro Fiel,Shakira,70lnL3QaSOIIyMa2X9aVRL,Argentina,,,,,,,,,,,5,10
She Don't Give a FO (feat. Khea),Duki,7ehmaSwhEZv4aaJzxsVMGY,Argentina,,,,,,,,,,,10,6
Corazón,Maluma,4lESS6vuruP6a79KWRaQou,Argentina,,,,,,,,,,,,1
Échame La Culpa,Luis Fonsi,1zsG4eaZmkA1dvjDDsAGLK,Argentina,,,,,,,,,,,,4
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,33bnxcjePIkcmNjEFTJX0l,Argentina,,,,,,,,,,,,8
Loca,Cazzu,0vnrhysrKKRdNYFKLAGzRc,Argentina,,,,,,,,,,,,9
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,Finland,1,1,1,4,,,,,,,,
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,Finland,2,9,,,,,,,,,,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,Finland,3,,,,,,,,,,,
Mixet Tahdo,Mäkki,53nNxpVCDUwblGyAazoSS8,Finland,4,,,,,,,,,,,
Mä hiihdän,Antti Tuisku,4OdVWcLwTqgFQJNAMLaur9,Finland,5,,,,,,,,,,,
Castle on the Hill,Ed Sheeran,6PCUP3dWmTjcTtXY02oFdT,Finland,6,,,,,,,,,,,
