"name","nTracks","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence",
"Chase"," 1"," 0.909"," 0.585"," 0.184"," 0.0523"," 0.0"," 0.0824"," 0.658"," "
"Cheat Codes"," 1"," 0.741"," 0.667"," 0.134"," 0.0575"," 0.0"," 0.106"," 0.595"," "
"Cheek"," 7"," 0.6494285714285715"," 0.7145714285714285"," 0.1214857142857143"," 0.1677714285714286"," 0.0"," 0.2467"," 0.4904285714285714"," "
"Childish Gambino"," 1"," 0.745"," 0.356"," 0.0941"," 0.172"," 0.00943"," 0.123"," 0.607"," "
"Chino & Nacho"," 1"," 0.68"," 0.954"," 0.119"," 0.0244"," 0.0"," 0.112"," 0.521"," "
"Chris Brown"," 1"," 0.614"," 0.598"," 0.0561"," 0.00543"," 0.0"," 0.1"," 0.565"," "
"Chris Jeday"," 1"," 0.708"," 0.693"," 0.138"," 0.246"," 0.0"," 0.129"," 0.427"," "
"Chris Kläfford"," 2"," 0.4345"," 0.42799999999999994"," 0.0337"," 0.4823"," 9.1e-07"," 0.164"," 0.3795"," "
"Chris Rea"," 1"," 0.603"," 0.705"," 0.0328"," 0.556"," 0.000123"," 0.342"," 0.89"," "
"Christian Nodal"," 2"," 0.546"," 0.47050000000000003"," 0.0315"," 0.368"," 0.0"," 0.2075"," 0.6665"," "
"Citybois"," 2"," 0.759"," 0.668"," 0.06609999999999999"," 0.10045"," 0.0"," 0.09235"," 0.6970000000000001"," "
"Clean Bandit"," 3"," 0.6883333333333334"," 0.6833333333333332"," 0.0514"," 0.30333333333333334"," 6.59e-06"," 0.13663333333333333"," 0.5096666666666667"," "
"CNCO"," 3"," 0.6933333333333334"," 0.8546666666666667"," 0.0823"," 0.19496666666666665"," 0.0"," 0.2214333333333333"," 0.6023333333333333"," "
"Coez"," 4"," 0.7044999999999999"," 0.5075000000000001"," 0.039525"," 0.42925"," 5.45e-07"," 0.4375"," 0.42775"," "
"Coldplay"," 4"," 0.39275000000000004"," 0.50525"," 0.03215"," 0.319"," 0.0006633275"," 0.15165"," 0.23374999999999999"," "
"Cromo"," 1"," 0.662"," 0.656"," 0.123"," 0.0514"," 0.0"," 0.152"," 0.244"," "
"Crowd Lu"," 1"," 0.666"," 0.217"," 0.0335"," 0.786"," 0.0"," 0.0766"," 0.395"," "
"Элджей"," 1"," 0.831"," 0.719"," 0.0545"," 0.318"," 0.000663"," 0.107"," 0.329"," "
"D�>tský sbor Camerata"," 3"," 0.463"," 0.21596666666666664"," 0.042733333333333325"," 0.8706666666666667"," 0.0"," 0.22466666666666665"," 0.532"," "
"Daði Freyr"," 2"," 0.84"," 0.537"," 0.0633"," 0.0591"," 0.0011865"," 0.06965"," 0.66"," "
"Daddy Yankee"," 3"," 0.7713333333333333"," 0.6743333333333332"," 0.12639999999999998"," 0.12666666666666668"," 0.0"," 0.1677"," 0.6596666666666667"," "
"Dadju"," 2"," 0.5265"," 0.5375000000000001"," 0.15055"," 0.5415"," 0.0"," 0.0911"," 0.7105"," "
"Dame 5"," 1"," 0.771"," 0.906"," 0.0506"," 0.0208"," 5.54e-05"," 0.304"," 0.433"," "
"Damso"," 10"," 0.7295"," 0.6083000000000001"," 0.13741"," 0.32374"," 5.2176e-05"," 0.08721"," 0.43970000000000004"," "
"Danny Ocean"," 3"," 0.7639999999999999"," 0.7806666666666667"," 0.07183333333333335"," 0.043199999999999995"," 0.0"," 0.0636"," 0.441"," "
"DAOKO�-米津�?""師"," 2"," 0.63"," 0.6675"," 0.025099999999999997"," 0.2475"," 0.0"," 0.1075"," 0.27649999999999997"," "
"Dark Polo Gang"," 15"," 0.7456666666666666"," 0.5486666666666667"," 0.14763333333333334"," 0.19675333333333328"," 0.0002977193333333334"," 0.18728666666666668"," 0.36190666666666654"," "
"Daryl Hall & John Oates"," 1"," 0.666"," 0.841"," 0.0312"," 0.613"," 0.0"," 0.113"," 0.84"," "
"Dasoul"," 1"," 0.817"," 0.804"," 0.0651"," 0.137"," 1.4e-05"," 0.0917"," 0.57"," "
"David Guetta"," 1"," 0.548"," 0.65"," 0.0591"," 0.219"," 0.0"," 0.225"," 0.557"," "
