danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.515,0.902,6,-4.729,0,0.383,0.0313,0,0.093,0.628,174.589,audio_features,3uMB82o0qa7erhiZBW9KQC,spotify:track:3uMB82o0qa7erhiZBW9KQC,https://api.spotify.com/v1/tracks/3uMB82o0qa7erhiZBW9KQC,https://api.spotify.com/v1/audio-analysis/3uMB82o0qa7erhiZBW9KQC,238419,5
0.648,0.951,7,-1.565,1,0.233,0.527,0,0.0707,0.966,165.364,audio_features,734vYzX6YKgSDHzXuLQJmg,spotify:track:734vYzX6YKgSDHzXuLQJmg,https://api.spotify.com/v1/tracks/734vYzX6YKgSDHzXuLQJmg,https://api.spotify.com/v1/audio-analysis/734vYzX6YKgSDHzXuLQJmg,216503,4
0.894,0.723,11,-5.61,0,0.0917,0.246,0.00475,0.15,0.487,116.003,audio_features,1itehVOMz2qYoxf4kKksfd,spotify:track:1itehVOMz2qYoxf4kKksfd,https://api.spotify.com/v1/tracks/1itehVOMz2qYoxf4kKksfd,https://api.spotify.com/v1/audio-analysis/1itehVOMz2qYoxf4kKksfd,216816,4
0.751,0.485,1,-11.907,0,0.249,0.408,0,0.0863,0.534,84.967,audio_features,1U5vNXDtpgrXwhBmyLRbuV,spotify:track:1U5vNXDtpgrXwhBmyLRbuV,https://api.spotify.com/v1/tracks/1U5vNXDtpgrXwhBmyLRbuV,https://api.spotify.com/v1/audio-analysis/1U5vNXDtpgrXwhBmyLRbuV,224471,4
0.841,0.629,4,-3.033,0,0.114,0.188,0,0.346,0.676,143.949,audio_features,3t6j6WNv2OSn6qm5Vxynub,spotify:track:3t6j6WNv2OSn6qm5Vxynub,https://api.spotify.com/v1/tracks/3t6j6WNv2OSn6qm5Vxynub,https://api.spotify.com/v1/audio-analysis/3t6j6WNv2OSn6qm5Vxynub,216307,4
0.787,0.979,1,-2.304,1,0.0699,0.0163,0.00339,0.144,0.782,119.995,audio_features,1JoIvJTHQ90FVC2LSwxnHF,spotify:track:1JoIvJTHQ90FVC2LSwxnHF,https://api.spotify.com/v1/tracks/1JoIvJTHQ90FVC2LSwxnHF,https://api.spotify.com/v1/audio-analysis/1JoIvJTHQ90FVC2LSwxnHF,360010,4
0.714,0.624,5,-5.413,0,0.0651,0.39,0,0.12,0.5,140.984,audio_features,3iDPALl8BoUbuXZgy6EOWY,spotify:track:3iDPALl8BoUbuXZgy6EOWY,https://api.spotify.com/v1/tracks/3iDPALl8BoUbuXZgy6EOWY,https://api.spotify.com/v1/audio-analysis/3iDPALl8BoUbuXZgy6EOWY,227221,4
0.798,0.95,1,-2.376,1,0.0432,0.248,0.495,0.111,0.34,117.021,audio_features,3pfYos3Izt62V2aWTgJ8jC,spotify:track:3pfYos3Izt62V2aWTgJ8jC,https://api.spotify.com/v1/tracks/3pfYos3Izt62V2aWTgJ8jC,https://api.spotify.com/v1/audio-analysis/3pfYos3Izt62V2aWTgJ8jC,168005,4
0.871,0.9,8,-4.603,0,0.052,0.0695,0.376,0.169,0.634,110.04,audio_features,5hx7ZmbaAEiwST2gfRI1nl,spotify:track:5hx7ZmbaAEiwST2gfRI1nl,https://api.spotify.com/v1/tracks/5hx7ZmbaAEiwST2gfRI1nl,https://api.spotify.com/v1/audio-analysis/5hx7ZmbaAEiwST2gfRI1nl,157097,4
0.759,0.639,4,-8.085,0,0.0511,0.207,0,0.23,0.682,128.01,audio_features,1WbXIpiGBJkCiv3hn40iPB,spotify:track:1WbXIpiGBJkCiv3hn40iPB,https://api.spotify.com/v1/tracks/1WbXIpiGBJkCiv3hn40iPB,https://api.spotify.com/v1/audio-analysis/1WbXIpiGBJkCiv3hn40iPB,198332,4
0.736,0.709,8,-6.889,0,0.0451,0.336,0,0.287,0.558,126.006,audio_features,4fSZ0TgFfg4wMqekZBWMpe,spotify:track:4fSZ0TgFfg4wMqekZBWMpe,https://api.spotify.com/v1/tracks/4fSZ0TgFfg4wMqekZBWMpe,https://api.spotify.com/v1/audio-analysis/4fSZ0TgFfg4wMqekZBWMpe,234829,4
0.783,0.653,7,-1.964,1,0.272,0.673,0.00316,0.12,0.41,91.964,audio_features,10nQ3Pj0o1XotcikgJPVKD,spotify:track:10nQ3Pj0o1XotcikgJPVKD,https://api.spotify.com/v1/tracks/10nQ3Pj0o1XotcikgJPVKD,https://api.spotify.com/v1/audio-analysis/10nQ3Pj0o1XotcikgJPVKD,170765,4
0.729,0.721,8,-5.962,0,0.0397,0.315,0,0.306,0.549,125.962,audio_features,19CAKZdXVNyZrfmF60RAj3,spotify:track:19CAKZdXVNyZrfmF60RAj3,https://api.spotify.com/v1/tracks/19CAKZdXVNyZrfmF60RAj3,https://api.spotify.com/v1/audio-analysis/19CAKZdXVNyZrfmF60RAj3,234160,4
0.662,0.628,1,-3.889,1,0.0468,0.145,0,0.274,0.202,139.898,audio_features,21lnmphofXWWeSSx0PEMjc,spotify:track:21lnmphofXWWeSSx0PEMjc,https://api.spotify.com/v1/tracks/21lnmphofXWWeSSx0PEMjc,https://api.spotify.com/v1/audio-analysis/21lnmphofXWWeSSx0PEMjc,283002,4
0.841,0.53,9,-11.467,1,0.205,0.551,0,0.119,0.686,114.028,audio_features,2wgDAPgBhFA7pnIbm0YOhP,spotify:track:2wgDAPgBhFA7pnIbm0YOhP,https://api.spotify.com/v1/tracks/2wgDAPgBhFA7pnIbm0YOhP,https://api.spotify.com/v1/audio-analysis/2wgDAPgBhFA7pnIbm0YOhP,412632,4
0.781,0.46,4,-7.739,1,0.0725,0.937,0.00000571,0.0811,0.45,96.973,audio_features,4J1e3hbf0e5YUZjkxyJWD3,spotify:track:4J1e3hbf0e5YUZjkxyJWD3,https://api.spotify.com/v1/tracks/4J1e3hbf0e5YUZjkxyJWD3,https://api.spotify.com/v1/audio-analysis/4J1e3hbf0e5YUZjkxyJWD3,306804,4
