name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Avicii, 6, 4.272, 4.062, 35.693, 0.3441, 0.49579, 0.01521602, 0.3975, 2.6270000000000002, 715.931, 
Dua Lipa, 2, 1.5979999999999999, 1.244, 11.995999999999999, 0.1637, 0.042910000000000004, 1.56e-05, 0.2354, 1.1179999999999999, 213.101, 
Justin Bieber, 3, 2.153, 2.015, 19.875, 0.12079999999999999, 0.51961, 0.0, 0.7011000000000001, 2.152, 371.914, 
Taylor Swift, 6, 4.356, 3.9659999999999997, 39.483000000000004, 0.904, 0.691, 4.437999999999999e-05, 1.01, 2.682, 760.186, 
Slim Mill, 1, 0.878, 0.648, 7.275, 0.159, 0.146, 0.00462, 0.187, 0.783, 120.046, 
Kaija Koo, 1, 0.689, 0.635, 5.764, 0.0879, 0.0126, 0.0, 0.296, 0.811, 97.953, 
Juha Tapio, 1, 0.671, 0.929, 4.011, 0.204, 0.147, 0.0, 0.374, 0.556, 96.01, 
Jari Sillanpää, 1, 0.582, 0.692, 6.535, 0.0493, 0.4, 0.0, 0.156, 0.215, 164.02, 
Cheek, 7, 4.546, 5.002, 46.631, 0.8504, 1.1744, 0.0, 1.7269, 3.433, 919.9110000000001, 
Pyhimys, 1, 0.697, 0.807, 7.248, 0.0762, 0.678, 0.000231, 0.202, 0.361, 99.953, 
OG Ulla-Maija, 1, 0.717, 0.855, 6.014, 0.25, 0.116, 0.0, 0.0627, 0.623, 134.926, 
NF, 2, 1.315, 1.4369999999999998, 11.338000000000001, 0.23299999999999998, 0.628, 0.0, 0.346, 0.905, 296.081, 
Selena Gomez, 3, 2.376, 1.822, 15.712000000000002, 0.1673, 0.33440000000000003, 4.45e-06, 0.31789999999999996, 1.3499999999999999, 369.101, 
Ellinoora, 1, 0.54, 0.623, 7.122, 0.0346, 0.327, 0.0859, 0.208, 0.476, 94.037, 
Eminem, 9, 6.014, 6.159999999999999, 48.955, 2.8349999999999995, 3.3361, 0.0, 3.4021999999999997, 4.976, 972.332, 
ABREU, 1, 0.776, 0.831, 3.069, 0.0792, 0.125, 0.0, 0.307, 0.622, 147.026, 
Pikku G, 1, 0.65, 0.672, 5.85, 0.148, 0.447, 0.0, 0.285, 0.387, 115.052, 
Anniina, 1, 0.759, 0.715, 5.758, 0.0762, 0.486, 1.21e-06, 0.254, 0.495, 110.065, 
G-Eazy, 5, 3.419, 3.775, 25.488, 0.8746, 0.13484000000000002, 0.0, 0.8434, 1.765, 696.115, 
Jean Sibelius, 1, 0.181, 0.188, 19.208, 0.0392, 0.933, 0.887, 0.0989, 0.041, 74.637, 
Sjöroos & Vesala, 1, 0.186, 0.125, 16.245, 0.0329, 0.739, 0.145, 0.106, 0.0365, 94.19, 
BESS, 1, 0.958, 0.774, 5.01, 0.0443, 0.211, 0.381, 0.073, 0.69, 127.977, 
Aste, 1, 0.771, 0.873, 4.386, 0.11, 0.442, 0.0, 0.235, 0.428, 90.997, 
Nelli Matula, 1, 0.728, 0.888, 4.191, 0.0636, 0.18, 0.0, 0.139, 0.762, 116.03, 
Sia, 4, 2.649, 2.853, 21.256, 0.3272, 0.6341, 0.002326, 0.6215, 2.165, 416.018, 
Suvi Teräsniska, 1, 0.488, 0.511, 6.011, 0.0232, 0.688, 0.0, 0.149, 0.329, 91.916, 
Mikko Harju, 1, 0.413, 0.409, 8.879, 0.0361, 0.259, 0.0, 0.0966, 0.221, 183.815, 
Vesa-Matti Loiri, 1, 0.175, 0.334, 10.127, 0.0326, 0.795, 0.161, 0.108, 0.312, 169.511, 
Katri Helena, 1, 0.55, 0.275, 12.585, 0.0373, 0.73, 0.0, 0.112, 0.302, 146.074, 
Ariana Grande, 4, 2.248, 2.518, 24.909, 0.4878, 0.3282, 3.3e-06, 0.7939999999999999, 1.5350000000000001, 498.49399999999997, 
Martin Jensen, 1, 0.744, 0.836, 2.396, 0.0507, 0.0435, 0.0, 0.194, 0.36, 114.965, 
Noah Cyrus, 1, 0.588, 0.471, 7.287, 0.0577, 0.592, 0.00146, 0.0733, 0.209, 152.881, 
The Vamps, 3, 1.853, 2.136, 19.578, 0.1185, 0.51031, 0.0, 0.7025, 1.782, 410.986, 
Alok, 4, 2.825, 2.774, 23.041999999999998, 0.1395, 1.1486999999999998, 0.01070641, 0.39980000000000004, 1.751, 494.94999999999993, 
James Arthur, 1, 0.358, 0.557, 7.398, 0.059, 0.695, 0.0, 0.0902, 0.494, 85.043, 
Hearts & Colors, 1, 0.595, 0.662, 6.858, 0.0362, 0.0178, 0.0, 0.0804, 0.417, 96.053, 
Julia Michaels, 1, 0.683, 0.427, 6.827, 0.0777, 0.368, 0.0, 0.0604, 0.426, 113.634, 
Alessia Cara, 1, 0.314, 0.555, 9.601, 0.37, 0.157, 0.000108, 0.067, 0.159, 179.666, 
AJR, 2, 1.3450000000000002, 1.279, 9.07, 0.089, 0.264, 0.0, 0.321, 1.334, 247.964, 
Astrid S, 4, 2.829, 2.9050000000000002, 21.806, 0.43489999999999995, 0.5084, 0.00018011999999999998, 0.488, 1.999, 409.016, 
JOWST, 1, 0.693, 0.612, 6.665, 0.0941, 0.117, 0.0, 0.0905, 0.316, 104.014, 
Cezinando, 2, 1.087, 0.878, 21.557000000000002, 0.257, 0.436, 7.72e-05, 0.23399999999999999, 0.681, 229.45, 
TIX, 1, 0.637, 0.8, 5.723, 0.0561, 0.00756, 0.0, 0.0893, 0.568, 154.983, 
Katastrofe, 1, 0.718, 0.782, 7.264, 0.0298, 0.606, 0.0, 0.0473, 0.389, 104.978, 
Hkeem, 1, 0.502, 0.693, 5.772, 0.254, 0.226, 0.0, 0.0774, 0.387, 103.054, 
Maggie Lindemann, 2, 1.406, 1.736, 9.322, 0.0582, 0.3, 0.264, 0.208, 1.466, 242.06, 
Vidar Villa, 1, 0.735, 0.79, 6.111, 0.0288, 0.123, 0.0, 0.296, 0.765, 148.019, 
Miley Cyrus, 1, 0.565, 0.782, 6.413, 0.0506, 0.0577, 4.16e-05, 0.0757, 0.4, 140.004, 
